original_filename,extracted_title,title_source,new_filename,status,error
agr50s-apt.pdf,AGR-50 Scheme-Assistance To Purchase Tractors,largest-font,AGR-50 Scheme-Assistance To Purchase Tractors (2).pdf,renamed,
agroforestry copy.pdf,Agroforestry component under RKVY,largest-font,Agroforestry component under RKVY.pdf,renamed,
agroforestry.pdf,Agroforestry component under RKVY,largest-font,Agroforestry component under RKVY (2).pdf,renamed,
ags copy.pdf,Arundhati Gold Scheme,largest-font,Arundhati Gold Scheme.pdf,renamed,
ags.pdf,Arundhati Gold Scheme,largest-font,Arundhati Gold Scheme (2).pdf,renamed,
ahs copy.pdf,Akanksha Housing Scheme,largest-font,Akanksha Housing Scheme.pdf,renamed,
ahs.pdf,Akanksha Housing Scheme,largest-font,Akanksha Housing Scheme (2).pdf,renamed,
ahst copy.pdf,"""Advance / High Skill Training"" Component of the ""Development of Industries"" Scheme",largest-font,Advance High Skill Training Component of the Development of Industries Scheme.pdf,renamed,
ahst.pdf,"""Advance / High Skill Training"" Component of the ""Development of Industries"" Scheme",largest-font,Advance High Skill Training Component of the Development of Industries Scheme (2).pdf,renamed,
ahstc-dc copy.pdf,"""Advance/High Skill Training in Coir"" Component of the ""Development of Coir"" Scheme",largest-font,Advance High Skill Training in Coir Component of the Development of Coir Scheme.pdf,renamed,
ahstc-dc.pdf,"""Advance/High Skill Training in Coir"" Component of the ""Development of Coir"" Scheme",largest-font,Advance High Skill Training in Coir Component of the Development of Coir Scheme (2).pdf,renamed,
ai-rtf copy.pdf,ASEAN-India Research Training Fellowship,largest-font,ASEAN-India Research Training Fellowship.pdf,renamed,
ai-rtf.pdf,ASEAN-India Research Training Fellowship,largest-font,ASEAN-India Research Training Fellowship (2).pdf,renamed,
ai-tgses copy.pdf,AICTE-INAE Travel Grant Scheme For Engineering Students From AICTE Approved Engineering College/Institution,largest-font,AICTE-INAE Travel Grant Scheme For Engineering Students From AICTE Approved Engineering College Institution.pdf,renamed,
ai-tgses.pdf,AICTE-INAE Travel Grant Scheme For Engineering Students From AICTE Approved Engineering College/Institution,largest-font,AICTE-INAE Travel Grant Scheme For Engineering Students From AICTE Approved Engineering College Institution (2).pdf,renamed,
aicte-spices copy.pdf,"AICTE - Scheme For Promoting Interests, Creativity And Ethics Among Students",largest-font,"AICTE - Scheme For Promoting Interests, Creativity And Ethics Among Students.pdf",renamed,
aicte-spices.pdf,"AICTE - Scheme For Promoting Interests, Creativity And Ethics Among Students",largest-font,"AICTE - Scheme For Promoting Interests, Creativity And Ethics Among Students (2).pdf",renamed,
aicte-ssss copy.pdf,AICTE-Swanath Scholarship Scheme For Students,largest-font,AICTE-Swanath Scholarship Scheme For Students.pdf,renamed,
aicte-ssss.pdf,AICTE-Swanath Scholarship Scheme For Students,largest-font,AICTE-Swanath Scholarship Scheme For Students (2).pdf,renamed,
aif copy.pdf,Agriculture Infrastructure Fund,largest-font,Agriculture Infrastructure Fund.pdf,renamed,
aif.pdf,Agriculture Infrastructure Fund,largest-font,Agriculture Infrastructure Fund (2).pdf,renamed,
aiideals copy.pdf,"AICTE-IDEA (Idea Development, Evaluation & Application) LAB SCHEME",largest-font,"AICTE-IDEA (Idea Development, Evaluation & Application) LAB SCHEME.pdf",renamed,
